thisRow.t,notes,waiting_for_trigger_text.started,trigger.started,trigger.keys,trigger.rt,countdown.started,trial.stopped,stimuli.started,condition,stim_name,stimuli.stopped,participant,run,user,date,expName,psychopyVersion,frameRate,
,,46.95261491900601,46.95261491900601,t,8.333692133994191,,,,,,,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,55.32251222000923,14.371949884996866,61.32428435700422,1,blank-1.jpg,,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,61.82424147200072,1,blank-2.jpg,,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,62.32342342300399,1,blank-3.jpg,,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,62.82358099000703,1,blank-4.jpg,,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,63.320308877009666,1,blank-5.jpg,,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,63.819725477005704,1,blank-6.jpg,,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,64.32029621700349,1,blank-7.jpg,,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,64.82011558501108,1,blank-8.jpg,,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,65.3201860130066,2,blank-9.jpg,,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,65.82027610900695,2,blank-10.jpg,,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,66.31982428900665,2,blank-11.jpg,66.81978945100855,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,66.81978945100855,2,blank-12.jpg,67.3199175720074,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,67.3199175720074,2,blank-13.jpg,67.8197830630088,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,67.8197830630088,2,blank-14.jpg,68.31973299400124,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,68.31973299400124,2,blank-15.jpg,68.81979829000193,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,68.81979829000193,2,blank-16.jpg,69.31980325300538,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,69.31980325300538,3,scenes-1.jpg,69.81997613400745,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,69.81997613400745,3,scenes-2.jpg,,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,70.31963996001286,3,scenes-3.jpg,,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,70.81989467600943,3,scenes-4.jpg,71.31975286001398,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,71.31975286001398,3,scenes-5.jpg,71.81982722300745,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,71.81982722300745,3,scenes-6.jpg,72.31973513601406,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,72.31973513601406,3,scenes-7.jpg,,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,72.81984001400997,3,scenes-8.jpg,73.31980843900237,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,73.31980843900237,4,hands-1.jpg,,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,73.81974731700029,4,hands-2.jpg,,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,74.31977225201263,4,hands-3.jpg,74.81977206400188,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,74.81977206400188,4,hands-4.jpg,75.31975236200378,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,75.31975236200378,4,hands-5.jpg,75.81964741001138,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,75.81964741001138,4,hands-6.jpg,76.31970761601406,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,76.31970761601406,4,hands-7.jpg,76.81945564300986,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,76.81945564300986,4,hands-8.jpg,77.32004095800221,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,77.32004095800221,5,cars-1.jpg,77.81979254200996,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,77.81979254200996,5,cars-2.jpg,78.31963045800512,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,78.31963045800512,5,cars-3.jpg,78.81955012801336,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,78.81955012801336,5,cars-4.jpg,79.31971374500426,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,79.31971374500426,5,cars-5.jpg,79.81962728500366,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,79.81962728500366,5,cars-6.jpg,80.31957653300196,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,80.31957653300196,5,cars-7.jpg,80.81965107101132,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
,,,,,,,,80.81965107101132,5,cars-8.jpg,81.319669746008,AC,1,vpnl,2023-11-16_21h08.22.391,longbabyloc,2023.2.2,59.961477626392146,
